instrument,timeframe,source,file_name,file_size_bytes,sha256,date_start,date_end,rows,columns,ohlc_available,bid_ask_available,spread_available,duplicate_count,chronology_status,missing_bar_characteristics,data_quality_status,source_rulebook_id
USDCAD,M5,LOCAL_WORKSPACE_AND_LIBRARY_INVENTORY,,,,,,,,,,,,,,DATA_NOT_AVAILABLE,AEGIS-RB-V35-GBPUSD-5M
USDCHF,M5,LOCAL_WORKSPACE_AND_LIBRARY_INVENTORY,,,,,,,,,,,,,,DATA_NOT_AVAILABLE,AEGIS-RB-V31-GBPUSD-5M
USDCHF,M5,LOCAL_WORKSPACE_AND_LIBRARY_INVENTORY,,,,,,,,,,,,,,DATA_NOT_AVAILABLE,AEGIS-RB-V35-GBPUSD-5M
EURCHF,M5,LOCAL_WORKSPACE_AND_LIBRARY_INVENTORY,,,,,,,,,,,,,,DATA_NOT_AVAILABLE,AEGIS-RB-V31-GBPUSD-5M
EURCHF,M5,LOCAL_WORKSPACE_AND_LIBRARY_INVENTORY,,,,,,,,,,,,,,DATA_NOT_AVAILABLE,AEGIS-RB-V35-GBPUSD-5M
EURJPY,M5,LOCAL_WORKSPACE_AND_LIBRARY_INVENTORY,,,,,,,,,,,,,,DATA_NOT_AVAILABLE,AEGIS-RB-V31-GBPUSD-5M
EURJPY,M5,LOCAL_WORKSPACE_AND_LIBRARY_INVENTORY,,,,,,,,,,,,,,DATA_NOT_AVAILABLE,AEGIS-RB-V35-GBPUSD-5M
AUDJPY,M5,LOCAL_WORKSPACE_AND_LIBRARY_INVENTORY,,,,,,,,,,,,,,DATA_NOT_AVAILABLE,AEGIS-RB-V31-GBPUSD-5M
AUDJPY,M5,LOCAL_WORKSPACE_AND_LIBRARY_INVENTORY,,,,,,,,,,,,,,DATA_NOT_AVAILABLE,AEGIS-RB-V35-GBPUSD-5M
CADJPY,M5,LOCAL_WORKSPACE_AND_LIBRARY_INVENTORY,,,,,,,,,,,,,,DATA_NOT_AVAILABLE,AEGIS-RB-V31-GBPUSD-5M
CADJPY,M5,LOCAL_WORKSPACE_AND_LIBRARY_INVENTORY,,,,,,,,,,,,,,DATA_NOT_AVAILABLE,AEGIS-RB-V35-GBPUSD-5M
CHFJPY,M5,LOCAL_WORKSPACE_AND_LIBRARY_INVENTORY,,,,,,,,,,,,,,DATA_NOT_AVAILABLE,AEGIS-RB-V31-GBPUSD-5M
CHFJPY,M5,LOCAL_WORKSPACE_AND_LIBRARY_INVENTORY,,,,,,,,,,,,,,DATA_NOT_AVAILABLE,AEGIS-RB-V35-GBPUSD-5M
EURAUD,M5,LOCAL_WORKSPACE_AND_LIBRARY_INVENTORY,,,,,,,,,,,,,,DATA_NOT_AVAILABLE,AEGIS-RB-V31-GBPUSD-5M
EURAUD,M5,LOCAL_WORKSPACE_AND_LIBRARY_INVENTORY,,,,,,,,,,,,,,DATA_NOT_AVAILABLE,AEGIS-RB-V35-GBPUSD-5M
EURNZD,M5,LOCAL_WORKSPACE_AND_LIBRARY_INVENTORY,,,,,,,,,,,,,,DATA_NOT_AVAILABLE,AEGIS-RB-V31-GBPUSD-5M
EURNZD,M5,LOCAL_WORKSPACE_AND_LIBRARY_INVENTORY,,,,,,,,,,,,,,DATA_NOT_AVAILABLE,AEGIS-RB-V35-GBPUSD-5M
GBPAUD,M5,LOCAL_WORKSPACE_AND_LIBRARY_INVENTORY,,,,,,,,,,,,,,DATA_NOT_AVAILABLE,AEGIS-RB-V31-GBPUSD-5M
GBPAUD,M5,LOCAL_WORKSPACE_AND_LIBRARY_INVENTORY,,,,,,,,,,,,,,DATA_NOT_AVAILABLE,AEGIS-RB-V35-GBPUSD-5M
GBPCAD,M5,LOCAL_WORKSPACE_AND_LIBRARY_INVENTORY,,,,,,,,,,,,,,DATA_NOT_AVAILABLE,AEGIS-RB-V31-GBPUSD-5M
GBPCAD,M5,LOCAL_WORKSPACE_AND_LIBRARY_INVENTORY,,,,,,,,,,,,,,DATA_NOT_AVAILABLE,AEGIS-RB-V35-GBPUSD-5M
GBPCHF,M5,LOCAL_WORKSPACE_AND_LIBRARY_INVENTORY,,,,,,,,,,,,,,DATA_NOT_AVAILABLE,AEGIS-RB-V31-GBPUSD-5M
GBPCHF,M5,LOCAL_WORKSPACE_AND_LIBRARY_INVENTORY,,,,,,,,,,,,,,DATA_NOT_AVAILABLE,AEGIS-RB-V35-GBPUSD-5M
GBPNZD,M5,LOCAL_WORKSPACE_AND_LIBRARY_INVENTORY,,,,,,,,,,,,,,DATA_NOT_AVAILABLE,AEGIS-RB-V31-GBPUSD-5M
GBPNZD,M5,LOCAL_WORKSPACE_AND_LIBRARY_INVENTORY,,,,,,,,,,,,,,DATA_NOT_AVAILABLE,AEGIS-RB-V35-GBPUSD-5M
AUDCAD,M5,LOCAL_WORKSPACE_AND_LIBRARY_INVENTORY,,,,,,,,,,,,,,DATA_NOT_AVAILABLE,AEGIS-RB-V31-GBPUSD-5M
AUDCAD,M5,LOCAL_WORKSPACE_AND_LIBRARY_INVENTORY,,,,,,,,,,,,,,DATA_NOT_AVAILABLE,AEGIS-RB-V35-GBPUSD-5M
AUDCHF,M5,LOCAL_WORKSPACE_AND_LIBRARY_INVENTORY,,,,,,,,,,,,,,DATA_NOT_AVAILABLE,AEGIS-RB-V31-GBPUSD-5M
AUDCHF,M5,LOCAL_WORKSPACE_AND_LIBRARY_INVENTORY,,,,,,,,,,,,,,DATA_NOT_AVAILABLE,AEGIS-RB-V35-GBPUSD-5M
AUDNZD,M5,LOCAL_WORKSPACE_AND_LIBRARY_INVENTORY,,,,,,,,,,,,,,DATA_NOT_AVAILABLE,AEGIS-RB-V31-GBPUSD-5M
AUDNZD,M5,LOCAL_WORKSPACE_AND_LIBRARY_INVENTORY,,,,,,,,,,,,,,DATA_NOT_AVAILABLE,AEGIS-RB-V35-GBPUSD-5M
CADCHF,M5,LOCAL_WORKSPACE_AND_LIBRARY_INVENTORY,,,,,,,,,,,,,,DATA_NOT_AVAILABLE,AEGIS-RB-V31-GBPUSD-5M
CADCHF,M5,LOCAL_WORKSPACE_AND_LIBRARY_INVENTORY,,,,,,,,,,,,,,DATA_NOT_AVAILABLE,AEGIS-RB-V35-GBPUSD-5M
NZDJPY,M5,LOCAL_WORKSPACE_AND_LIBRARY_INVENTORY,,,,,,,,,,,,,,DATA_NOT_AVAILABLE,AEGIS-RB-V31-GBPUSD-5M
NZDJPY,M5,LOCAL_WORKSPACE_AND_LIBRARY_INVENTORY,,,,,,,,,,,,,,DATA_NOT_AVAILABLE,AEGIS-RB-V35-GBPUSD-5M
NZDCAD,M5,LOCAL_WORKSPACE_AND_LIBRARY_INVENTORY,,,,,,,,,,,,,,DATA_NOT_AVAILABLE,AEGIS-RB-V31-GBPUSD-5M
NZDCAD,M5,LOCAL_WORKSPACE_AND_LIBRARY_INVENTORY,,,,,,,,,,,,,,DATA_NOT_AVAILABLE,AEGIS-RB-V35-GBPUSD-5M
NZDCHF,M5,LOCAL_WORKSPACE_AND_LIBRARY_INVENTORY,,,,,,,,,,,,,,DATA_NOT_AVAILABLE,AEGIS-RB-V31-GBPUSD-5M
NZDCHF,M5,LOCAL_WORKSPACE_AND_LIBRARY_INVENTORY,,,,,,,,,,,,,,DATA_NOT_AVAILABLE,AEGIS-RB-V35-GBPUSD-5M
